Track Title,ISRC,Writer Names,Ownership Share %,Registration Status,Notes
Will You Listen?,QZFZ62027665,Hawk Eye The Rapper,100,Unregistered,Unmatched
Stay Real,QZFZ42008686,Hawk Eye The Rapper,100,Unregistered,Unmatched
Syntax,QZFZ42008685,Hawk Eye The Rapper,100,Unregistered,Unmatched
Monumental,QZFZ42008682,Hawk Eye The Rapper,100,Unregistered,Unmatched
Haunted,QZFZ42008681,Hawk Eye The Rapper,100,Unregistered,
Ashes,QZFZ42008680,Hawk Eye The Rapper,100,Unregistered,Unmatched
Fuck Society,QZFZ42008679,Hawk Eye The Rapper,100,Unregistered,Unmatched
Lifted,QZFZ42008678,Hawk Eye The Rapper,100,Unregistered,
Full Disclosure,QZFZ42008677,Hawk Eye The Rapper,100,Unregistered,Unmatched
Shakur (Feat. Zenith),QZFZ42008675,Hawk Eye The Rapper,100,Unregistered,Unmatched
Shakur (Feat. Zenith),QZFZ42008675,Hawk Eye The Rapper,100,Unregistered,Unmatched
Swordfish,QZFZ42008673,Hawk Eye The Rapper,100,Unregistered,Unmatched
Spiteful Poetry,QZDA62424851,Hawk Eye The Rapper,100,Unregistered,Unmatched
Never Heard Of Me?,QZDA62424850,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Game,QZDA62424852,Hawk Eye The Rapper,100,Unregistered,Unmatched
Relentless,QZDA62424849,Hawk Eye The Rapper,100,Unregistered,Unmatched
Synthesis,QZDA62424855,Hawk Eye The Rapper,100,Unregistered,Unmatched
When Shit Gets Real,QZDA62424854,Hawk Eye The Rapper,100,Unregistered,Unmatched
Psychological Warfare,QZDA62424846,Hawk Eye The Rapper,100,Unregistered,Unmatched
Krystal Klear,QZDA62424857,Hawk Eye The Rapper,100,Unregistered,Unmatched
Reincarnated 2 Resist,QZFZ22212091,Hawk Eye The Rapper,100,Unregistered,
Legion,QZFZ22212089,Hawk Eye The Rapper,100,Unregistered,
Artificial Intelligence,QZFZ22212088,Hawk Eye The Rapper,100,Unregistered,
Avalanche,QZFZ22212087,Hawk Eye The Rapper,100,Unregistered,
Fema,QZFZ22212085,Hawk Eye The Rapper,100,Unregistered,
Implants,QZFZ22212083,Hawk Eye The Rapper,100,Unregistered,Unmatched
Eyes Wide Open,QZFZ22212081,Hawk Eye The Rapper,100,Unregistered,
Soft Disclosure,QZFZ22212079,Hawk Eye The Rapper,100,Unregistered,
The Story Celebrated Throughout Time,QZHN92001340,Hawk Eye The Rapper,100,Unregistered,Unmatched
Semi-Automatic,QZHN92001337,Hawk Eye The Rapper,100,Unregistered,Unmatched
Menace To Society,QZHN92001336,Hawk Eye The Rapper,100,Unregistered,Unmatched
Menace To Society,QZHN92001336,Hawk Eye The Rapper,100,Unregistered,Unmatched
Whistle Blower,QZHN92001333,Hawk Eye The Rapper,100,Unregistered,Unmatched
Kamikaze,QZHN92001332,Hawk Eye The Rapper,100,Unregistered,Unmatched
Behold A Pale Horse,QZHN92001331,Hawk Eye The Rapper,100,Unregistered,Unmatched
Behold A Pale Horse,QZHN92001331,Hawk Eye The Rapper,100,Unregistered,Unmatched
Psyops,QZHN32092792,Hawk Eye The Rapper,100,Unregistered,
Reincarnated 2 Resist,QZK6L2223964,Hawk Eye The Rapper,100,Unregistered,Unmatched
Artificial Intelligence,QZK6L2223961,Hawk Eye The Rapper,100,Unregistered,Unmatched
Avalanche,QZK6L2223960,Hawk Eye The Rapper,100,Unregistered,Unmatched
Illuminati,QZK6L2223957,Hawk Eye The Rapper,100,Unregistered,Unmatched
Soft Disclosure,QZK6L2223953,Hawk Eye The Rapper,100,Unregistered,Unmatched
Syntax,QZK6N2262195,Hawk Eye The Rapper,100,Unregistered,Unmatched
Hocus Pocus,QZK6N2262194,Hawk Eye The Rapper,100,Unregistered,Unmatched
Trafficked,QZK6N2262193,Hawk Eye The Rapper,100,Unregistered,Unmatched
Monumental,QZK6N2262192,Hawk Eye The Rapper,100,Unregistered,Unmatched
Ashes,QZK6N2262190,Hawk Eye The Rapper,100,Unregistered,Unmatched
Fuck Society,QZK6N2262189,Hawk Eye The Rapper,100,Unregistered,Unmatched
Lifted,QZK6N2262188,Hawk Eye The Rapper,100,Unregistered,Unregistered
Full Disclosure,QZK6N2262187,Hawk Eye The Rapper,100,Unregistered,Unmatched
Last One Left,QZK6N2262186,Hawk Eye The Rapper,100,Unregistered,Unmatched
Mic Check,QZK6N2262184,Hawk Eye The Rapper,100,Unregistered,Unmatched
Mind Kontrol,QZFZ62185044,Hawk Eye The Rapper,100,Unregistered,Unmatched
K.T.,QZHN92001339,Hawk Eye The Rapper,100,Unregistered,Unmatched
K.T.,QZHN92001339,Hawk Eye The Rapper,100,Unregistered,Unmatched
Reverse This Curse,QZHN92001338,Hawk Eye The Rapper,100,Unregistered,Unmatched
Scripture,QZHN92001335,Hawk Eye The Rapper,100,Unregistered,Unmatched
Superstitions,QZHN92001334,Hawk Eye The Rapper,100,Unregistered,Unmatched
Warning Shots,QZHN92001330,Hawk Eye The Rapper,100,Unregistered,Unmatched
Psyops,QZHN52064806,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Story Of Our Former Glory,QZFZ42008687,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Story Of Our Former Glory,QZFZ42008687,Hawk Eye The Rapper,100,Unregistered,Unmatched
Hocus Pocus,QZFZ42008684,Hawk Eye The Rapper,100,Unregistered,Unmatched
Trafficked,QZFZ42008683,Hawk Eye The Rapper,100,Unregistered,Unmatched
Last One Left,QZFZ42008676,Hawk Eye The Rapper,100,Unregistered,Unmatched
Mic Check,QZFZ42008674,Hawk Eye The Rapper,100,Unregistered,Unmatched
When My Elites Surround,QZK6L2223963,Hawk Eye The Rapper,100,Unregistered,Unmatched
Legion,QZK6L2223962,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Antidote,QZK6L2223959,Hawk Eye The Rapper,100,Unregistered,Unmatched
Fema,QZK6L2223958,Hawk Eye The Rapper,100,Unregistered,Unmatched
Delta Squad,QZK6L2223956,Hawk Eye The Rapper,100,Unregistered,Unmatched
Eyes Wide Open,QZK6L2223955,Hawk Eye The Rapper,100,Unregistered,Unmatched
Abreactions,QZK6L2223954,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Story Of Our Former Glory,QZK6N2262197,Hawk Eye The Rapper,100,Unregistered,Unmatched
Stay Real,QZK6N2262196,Hawk Eye The Rapper,100,Unregistered,Unmatched
Haunted,QZK6N2262191,Hawk Eye The Rapper,100,Unregistered,Unmatched
Shakur (Feat. Zenith The Queen),QZK6N2262185,Hawk Eye The Rapper,100,Unregistered,Unmatched
Swordfish,QZK6N2262183,Hawk Eye The Rapper,100,Unregistered,Unmatched
When My Elites Surround,QZFZ22212090,Hawk Eye The Rapper,100,Unregistered,
The Antidote,QZFZ22212086,Hawk Eye The Rapper,100,Unregistered,
Illuminati,QZFZ22212084,Hawk Eye The Rapper,100,Unregistered,
Delta Squad,QZFZ22212082,Hawk Eye The Rapper,100,Unregistered,
Abreactions,QZFZ22212080,Hawk Eye The Rapper,100,Unregistered,
Incantations,QZFZ42192650,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Shadow Is Rising,QZDA62424853,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Devil'S In The Details,QZWFN2366283,Hawk Eye The Rapper,100,Unregistered,Unmatched
Domestic Terrorist,QZDA62424848,Hawk Eye The Rapper,100,Unregistered,Unmatched
Down The Rabbit Hole,QZDA62424847,Hawk Eye The Rapper,100,Unregistered,Unmatched
Invokation,QZDA62424856,Hawk Eye The Rapper,100,Unregistered,Unmatched
Will You Listen?,,Hawk Eye,100,Unregistered,
Soft Disclosure,OZFZ22212079,Hawk Eye The Rapper,100,Unregistered,Unmatched
Abreactions,OZFZ22212080,Hawk Eye The Rapper,100,Unregistered,Unmatched
Eyes Wide Open,OZFZ22212081,Hawk Eye The Rapper,100,Unregistered,Unmatched
Delta Squad,OZFZ22212082,Hawk Eye The Rapper,100,Unregistered,Unmatched
Implants,OZFZ22212083,Hawk Eye The Rapper,100,Unregistered,Unmatched
Illuminati,OZFZ22212084,Hawk Eye The Rapper,100,Unregistered,Unmatched
FEMA,OZFZ22212085,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Antidote,OZFZ22212086,Hawk Eye The Rapper,100,Unregistered,Unmatched
Avalanche,OZFZ22212087,Hawk Eye The Rapper,100,Unregistered,Unmatched
Artificial Intelligence,OZFZ22212088,Hawk Eye The Rapper,100,Unregistered,Unmatched
Legion,OZFZ22212089,Hawk Eye The Rapper,100,Unregistered,Unmatched
When My Elites Surround,OZFZ22212090,Hawk Eye The Rapper,100,Unregistered,Unmatched
Reincarnated 2 Resist,OZFZ22212091,Hawk Eye The Rapper,100,Unregistered,Unmatched
Warning Shots,OZHN92001330,Hawk Eye The Rapper,100,Unregistered,Unmatched
Behold A Pale Horse,OZHN92001331,Hawk Eye The Rapper,100,Unregistered,Unmatched
Kamikaze,OZHN92001332,Hawk Eye The Rapper,100,Unregistered,Unmatched
Whistle Blower,OZHN92001333,Hawk Eye The Rapper,100,Unregistered,Unmatched
Superstitions,OZHN92001334,Hawk Eye The Rapper,100,Unregistered,Unmatched
Scripture,OZHN92001335,Hawk Eye The Rapper,100,Unregistered,Unmatched
Menace To Society,OZHN92001336,Hawk Eye The Rapper,100,Unregistered,Unmatched
Semi-Automatic,OZHN92001337,Hawk Eye The Rapper,100,Unregistered,Unmatched
Reverse This Curse,OZHN92001338,Hawk Eye The Rapper,100,Unregistered,Unmatched
K.T.,OZHN92001339,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Story Celebrated Throughout Time,OZHN92001340,Hawk Eye The Rapper,100,Unregistered,Unmatched
Malicious,QZDA62408794,Hawk Eye The Rapper,100,Unregistered,Unmatched
Gang Shit,QZDA62408795,Hawk Eye The Rapper,100,Unregistered,Unmatched
The MotherFucking Problem,QZDA62408796,Hawk Eye The Rapper,100,Unregistered,Unmatched
I'm Him,QZDA62408797,Hawk Eye The Rapper,100,Unregistered,Unmatched
Return Of Kings,QZHNB2443344,Hawk Eye The Rapper,100,Unregistered,
The Vow,QZK6G2540773,Hawk Eye The Rapper,100,Unregistered,
Politicians (feat. Symba),QZZ762479215,Hawk Eye The Rapper,100,Unregistered,Unmatched
