Track Title,ISRC,Writer Name,Writer Share %,Registration Status
Will You Listen?,QZFZ62027665,Hawk Eye The Rapper,100,Registered
Stay Real,QZFZ42008686,Hawk Eye The Rapper,100,Registered
Syntax,QZFZ42008685,Hawk Eye The Rapper,100,Registered
Monumental,QZFZ42008682,Hawk Eye The Rapper,100,Registered
Haunted,QZFZ42008681,Hawk Eye The Rapper,100,Registered
Ashes,QZFZ42008680,Hawk Eye The Rapper,100,Registered
Fuck Society,QZFZ42008679,Hawk Eye The Rapper,100,Registered
Lifted,QZFZ42008678,Hawk Eye The Rapper,100,Registered
Full Disclosure,QZFZ42008677,Hawk Eye The Rapper,100,Registered
Shakur (Feat. Zenith),QZFZ42008675,Hawk Eye The Rapper,100,Registered
Shakur (Feat. Zenith),QZFZ42008675,Hawk Eye The Rapper,100,Registered
Swordfish,QZFZ42008673,Hawk Eye The Rapper,100,Registered
Spiteful Poetry,QZDA62424851,Hawk Eye The Rapper,100,Registered
Never Heard Of Me?,QZDA62424850,Hawk Eye The Rapper,100,Registered
The Game,QZDA62424852,Hawk Eye The Rapper,100,Registered
Relentless,QZDA62424849,Hawk Eye The Rapper,100,Registered
Synthesis,QZDA62424855,Hawk Eye The Rapper,100,Registered
When Shit Gets Real,QZDA62424854,Hawk Eye The Rapper,100,Registered
Psychological Warfare,QZDA62424846,Hawk Eye The Rapper,100,Registered
Krystal Klear,QZDA62424857,Hawk Eye The Rapper,100,Registered
Reincarnated 2 Resist,QZFZ22212091,Hawk Eye The Rapper,100,Registered
Legion,QZFZ22212089,Hawk Eye The Rapper,100,Registered
Artificial Intelligence,QZFZ22212088,Hawk Eye The Rapper,100,Registered
Avalanche,QZFZ22212087,Hawk Eye The Rapper,100,Registered
Fema,QZFZ22212085,Hawk Eye The Rapper,100,Registered
Implants,QZFZ22212083,Hawk Eye The Rapper,100,Registered
Eyes Wide Open,QZFZ22212081,Hawk Eye The Rapper,100,Registered
Soft Disclosure,QZFZ22212079,Hawk Eye The Rapper,100,Registered
The Story Celebrated Throughout Time,QZHN92001340,Hawk Eye The Rapper,100,Registered
Semi-Automatic,QZHN92001337,Hawk Eye The Rapper,100,Registered
Menace To Society,QZHN92001336,Hawk Eye The Rapper,100,Registered
Menace To Society,QZHN92001336,Hawk Eye The Rapper,100,Registered
Whistle Blower,QZHN92001333,Hawk Eye The Rapper,100,Registered
Kamikaze,QZHN92001332,Hawk Eye The Rapper,100,Registered
Behold A Pale Horse,QZHN92001331,Hawk Eye The Rapper,100,Registered
Behold A Pale Horse,QZHN92001331,Hawk Eye The Rapper,100,Registered
Psyops,QZHN32092792,Hawk Eye The Rapper,100,Registered
Reincarnated 2 Resist,QZK6L2223964,Hawk Eye The Rapper,100,Registered
Artificial Intelligence,QZK6L2223961,Hawk Eye The Rapper,100,Registered
Avalanche,QZK6L2223960,Hawk Eye The Rapper,100,Registered
Illuminati,QZK6L2223957,Hawk Eye The Rapper,100,Registered
Soft Disclosure,QZK6L2223953,Hawk Eye The Rapper,100,Registered
Syntax,QZK6N2262195,Hawk Eye The Rapper,100,Registered
Hocus Pocus,QZK6N2262194,Hawk Eye The Rapper,100,Registered
Trafficked,QZK6N2262193,Hawk Eye The Rapper,100,Registered
Monumental,QZK6N2262192,Hawk Eye The Rapper,100,Registered
Ashes,QZK6N2262190,Hawk Eye The Rapper,100,Registered
Fuck Society,QZK6N2262189,Hawk Eye The Rapper,100,Registered
Lifted,QZK6N2262188,Hawk Eye The Rapper,100,Registered
Full Disclosure,QZK6N2262187,Hawk Eye The Rapper,100,Registered
Last One Left,QZK6N2262186,Hawk Eye The Rapper,100,Registered
Mic Check,QZK6N2262184,Hawk Eye The Rapper,100,Registered
Mind Kontrol,QZFZ62185044,Hawk Eye The Rapper,100,Registered
K.T.,QZHN92001339,Hawk Eye The Rapper,100,Registered
K.T.,QZHN92001339,Hawk Eye The Rapper,100,Registered
Reverse This Curse,QZHN92001338,Hawk Eye The Rapper,100,Registered
Scripture,QZHN92001335,Hawk Eye The Rapper,100,Registered
Superstitions,QZHN92001334,Hawk Eye The Rapper,100,Registered
Warning Shots,QZHN92001330,Hawk Eye The Rapper,100,Registered
Psyops,QZHN52064806,Hawk Eye The Rapper,100,Registered
The Story Of Our Former Glory,QZFZ42008687,Hawk Eye The Rapper,100,Registered
The Story Of Our Former Glory,QZFZ42008687,Hawk Eye The Rapper,100,Registered
Hocus Pocus,QZFZ42008684,Hawk Eye The Rapper,100,Registered
Trafficked,QZFZ42008683,Hawk Eye The Rapper,100,Registered
Last One Left,QZFZ42008676,Hawk Eye The Rapper,100,Registered
Mic Check,QZFZ42008674,Hawk Eye The Rapper,100,Registered
When My Elites Surround,QZK6L2223963,Hawk Eye The Rapper,100,Registered
Legion,QZK6L2223962,Hawk Eye The Rapper,100,Registered
The Antidote,QZK6L2223959,Hawk Eye The Rapper,100,Registered
Fema,QZK6L2223958,Hawk Eye The Rapper,100,Registered
Delta Squad,QZK6L2223956,Hawk Eye The Rapper,100,Registered
Eyes Wide Open,QZK6L2223955,Hawk Eye The Rapper,100,Registered
Abreactions,QZK6L2223954,Hawk Eye The Rapper,100,Registered
The Story Of Our Former Glory,QZK6N2262197,Hawk Eye The Rapper,100,Registered
Stay Real,QZK6N2262196,Hawk Eye The Rapper,100,Registered
Haunted,QZK6N2262191,Hawk Eye The Rapper,100,Registered
Shakur (Feat. Zenith The Queen),QZK6N2262185,Hawk Eye The Rapper,100,Registered
Swordfish,QZK6N2262183,Hawk Eye The Rapper,100,Registered
When My Elites Surround,QZFZ22212090,Hawk Eye The Rapper,100,Registered
The Antidote,QZFZ22212086,Hawk Eye The Rapper,100,Registered
Illuminati,QZFZ22212084,Hawk Eye The Rapper,100,Registered
Delta Squad,QZFZ22212082,Hawk Eye The Rapper,100,Registered
Abreactions,QZFZ22212080,Hawk Eye The Rapper,100,Registered
Incantations,QZFZ42192650,Hawk Eye The Rapper,100,Registered
The Shadow Is Rising,QZDA62424853,Hawk Eye The Rapper,100,Registered
The Devil'S In The Details,QZWFN2366283,Hawk Eye The Rapper,100,Registered
Domestic Terrorist,QZDA62424848,Hawk Eye The Rapper,100,Registered
Down The Rabbit Hole,QZDA62424847,Hawk Eye The Rapper,100,Registered
Invokation,QZDA62424856,Hawk Eye The Rapper,100,Registered
Will You Listen?,,Hawk Eye,100,Registered
Soft Disclosure,OZFZ22212079,Hawk Eye The Rapper,100,Registered
Abreactions,OZFZ22212080,Hawk Eye The Rapper,100,Registered
Eyes Wide Open,OZFZ22212081,Hawk Eye The Rapper,100,Registered
Delta Squad,OZFZ22212082,Hawk Eye The Rapper,100,Registered
Implants,OZFZ22212083,Hawk Eye The Rapper,100,Registered
Illuminati,OZFZ22212084,Hawk Eye The Rapper,100,Registered
FEMA,OZFZ22212085,Hawk Eye The Rapper,100,Registered
The Antidote,OZFZ22212086,Hawk Eye The Rapper,100,Registered
Avalanche,OZFZ22212087,Hawk Eye The Rapper,100,Registered
Artificial Intelligence,OZFZ22212088,Hawk Eye The Rapper,100,Registered
Legion,OZFZ22212089,Hawk Eye The Rapper,100,Registered
When My Elites Surround,OZFZ22212090,Hawk Eye The Rapper,100,Registered
Reincarnated 2 Resist,OZFZ22212091,Hawk Eye The Rapper,100,Registered
Warning Shots,OZHN92001330,Hawk Eye The Rapper,100,Registered
Behold A Pale Horse,OZHN92001331,Hawk Eye The Rapper,100,Registered
Kamikaze,OZHN92001332,Hawk Eye The Rapper,100,Registered
Whistle Blower,OZHN92001333,Hawk Eye The Rapper,100,Registered
Superstitions,OZHN92001334,Hawk Eye The Rapper,100,Registered
Scripture,OZHN92001335,Hawk Eye The Rapper,100,Registered
Menace To Society,OZHN92001336,Hawk Eye The Rapper,100,Registered
Semi-Automatic,OZHN92001337,Hawk Eye The Rapper,100,Registered
Reverse This Curse,OZHN92001338,Hawk Eye The Rapper,100,Registered
K.T.,OZHN92001339,Hawk Eye The Rapper,100,Registered
The Story Celebrated Throughout Time,OZHN92001340,Hawk Eye The Rapper,100,Registered
Malicious,QZDA62408794,Hawk Eye The Rapper,100,Registered
Gang Shit,QZDA62408795,Hawk Eye The Rapper,100,Registered
The MotherFucking Problem,QZDA62408796,Hawk Eye The Rapper,100,Registered
I'm Him,QZDA62408797,Hawk Eye The Rapper,100,Registered
Return Of Kings,QZHNB2443344,Hawk Eye The Rapper,100,Registered
The Vow,QZK6G2540773,Hawk Eye The Rapper,100,Registered
Politicians (feat. Symba),QZZ762479215,Hawk Eye The Rapper,100,Registered
